ID,Event(yyyymmddhhmm),Lat,Lon,Depth(km),Strike,Dip,Rake,Mw,VR(%),#,Stations
1,200704140430,38.325,39.323,7.19,329,80,28,3.93,69.2,5
2,200704190716,38.295,39.19,7.79,255,62,1,3.77,76.1,4
3,200705062256,36.992,35.548,11.42,340,45,-65,3.87,52.5,5
4,200705142303,37.505,35.717,9.36,354,67,-86,3.65,55.3,7
5,200708031347,38.368,39.398,2,5,66,-86,3.81,76.1,4
6,200708240253,38.259,37.452,7.24,235,45,-42,3.87,61.6,10
7,200709150526,37.859,36.904,5.4,273,41,28,4.11,65,9
8,200709152328,37.868,36.889,6.09,249,35,0,3.94,71.9,9
9,200712232355,37.533,35.688,10.47,32,70,-65,3.88,64.5,10
10,200805030320,36.697,36.618,7.81,245,54,48,3.59,51.8,7
11,200808201101,37.711,37.464,2,71,90,-64,3.85,58.5,11
12,200901170745,37.16,36.326,14,241,64,-11,4.56,70.1,12
13,200902260853,37.2,36.917,6.55,43,61,-14,3.74,75,13
14,200905031809,38.109,38.576,6.16,241,39,-26,3.15,64,14
15,200905190653,37.649,38.741,4.91,211,22,-34,3.52,57.9,7
16,200905260201,38.682,39.467,8.65,239,50,40,3.74,66.3,14
17,200906041302,36.992,35.825,14,240,59,32,3.84,71.5,8
18,200907071557,38.231,38.774,6.62,221,11,-31,4.26,71,16
19,200907240548,37.537,35.694,7.45,35,80,-84,4.23,57.9,11
20,200908122023,38.242,38.806,4.85,230,18,-25,3.59,68.1,17
21,200910050158,38.326,39.257,9.21,245,64,-3,3.46,68.1,15
22,201001241959,37.6,35.619,14,38,70,-82,3.57,69.7,5
23,201002210438,38.722,40.054,7.11,70,72,4,4.04,66.2,22
24,201003080232,38.823,40.083,6.77,49,57,2,5.68,71.8,12
25,201003080747,38.772,40.064,7.75,51,75,-7,5.11,64.8,13
26,201003081014,38.828,40.134,7.77,54,65,6,4.46,66.5,14
27,201003081112,38.784,40.087,7.17,246,77,16,4.59,57.7,22
28,201003081417,38.778,40.079,6.72,51,55,13,3.84,55.3,13
29,201003081504,38.775,40.072,8.16,51,63,4,4.36,56.5,15
30,201003090009,38.795,40.105,4.28,235,64,1,3.74,59.5,17
31,201003090614,38.761,40.059,7.63,50,80,-26,4.09,61.3,10
32,201003090721,38.862,40.181,6.31,145,60,-10,3.98,60.2,10
33,201003090734,38.753,40.05,4.58,331,71,-33,3.88,58.8,9
34,201003120135,38.706,40.081,5.88,63,57,-20,3.44,63.8,8
35,201003122250,38.807,40.054,8.43,220,48,6,3.76,72.5,19
36,201003160933,38.65,39.689,14,54,78,16,3.78,75,13
37,201003241411,38.802,40.077,12.73,251,41,19,4.72,68.8,17
38,201004111610,39.081,40.79,10.88,55,37,44,3.65,64.1,9
39,201004240515,38.795,40.122,10.13,231,54,8,3.75,72.7,11
40,201006072145,37.783,36.079,8.12,44,33,-84,3.62,64.5,17
41,201006080426,37.783,36.08,9.52,225,41,-84,3.87,61,12
42,201007052205,37.535,35.57,7.55,264,40,30,3.46,59,11
